year	iso	inflation_reinhard_rogoff	inflation_frankema_waijenburg
1958	"NGA"	-3.4	
1959	"NGA"	4.71	
1960	"NGA"	4.33	
1961	"NGA"	6.22	
1962	"NGA"	2.91	
1963	"NGA"	-1.03	
1964	"NGA"	0.94	
1965	"NGA"	4.6	
1966	"NGA"	8.14	
1967	"NGA"	-4.55	
1968	"NGA"	2.73	
1969	"NGA"	11.0	
1970	"NGA"	13.41	
1971	"NGA"	15.48	
1972	"NGA"	-0.01	
1973	"NGA"	11.67	
1974	"NGA"	11.26	
1975	"NGA"	38.5	
1976	"NGA"	18.34	
1977	"NGA"	22.36	
1978	"NGA"	15.78	
1979	"NGA"	10.07	
1980	"NGA"	10.0	
1981	"NGA"	20.6	
1982	"NGA"	7.7	
1983	"NGA"	23.2	
1984	"NGA"	39.6	
1985	"NGA"	5.5	
1986	"NGA"	5.4	
1987	"NGA"	10.2	
1988	"NGA"	34.5	
1989	"NGA"	50.5	
1990	"NGA"	7.4	
1991	"NGA"	12.7	
1992	"NGA"	44.8	
1993	"NGA"	57.2	
1994	"NGA"	57.0	
1995	"NGA"	72.9	
1996	"NGA"	29.3	
1997	"NGA"	8.5	
1998	"NGA"	10.0	
1999	"NGA"	6.6	
2000	"NGA"	6.9	
2001	"NGA"	18.0	
2002	"NGA"	13.7	
2003	"NGA"	14.0	
2004	"NGA"	15.0	
2005	"NGA"	17.86	
2006	"NGA"	8.22	
2007	"NGA"	5.41	
2008	"NGA"	11.58	
2009	"NGA"	12.54	
2010	"NGA"	13.72	
2011	"NGA"	10.84	
2012	"NGA"	12.22	
2013	"NGA"	8.48	
2014	"NGA"	8.29	
2015	"NGA"		
1890	"ZAF"		
1891	"ZAF"		
1892	"ZAF"		
1893	"ZAF"		
1894	"ZAF"		
1895	"ZAF"		
1896	"ZAF"	6.06	
1897	"ZAF"	1.43	
1898	"ZAF"	2.82	
1899	"ZAF"	0.0	
1900	"ZAF"	4.11	
1901	"ZAF"	9.2	
1902	"ZAF"	2.41	
1903	"ZAF"	-8.24	
1904	"ZAF"	-5.13	
1905	"ZAF"	-6.75	
1906	"ZAF"	-7.25	
1907	"ZAF"	-1.56	
1908	"ZAF"	-1.59	
1909	"ZAF"	4.84	
1910	"ZAF"	15.39	
1911	"ZAF"	4.0	
1912	"ZAF"	2.56	
1913	"ZAF"	1.25	
1914	"ZAF"	1.24	
1915	"ZAF"	4.87	
1916	"ZAF"	5.82	
1917	"ZAF"	9.89	
1918	"ZAF"	7.0	
1919	"ZAF"	0.93	
1920	"ZAF"	35.19	
1921	"ZAF"	-18.07	
1922	"ZAF"	-3.96	
1923	"ZAF"	0.76	
1924	"ZAF"	0.0	
1925	"ZAF"	-1.51	
1926	"ZAF"	-1.52	
1927	"ZAF"	2.32	
1928	"ZAF"	-0.76	
1929	"ZAF"	-1.52	
1930	"ZAF"	-2.33	
1931	"ZAF"	-3.97	
1932	"ZAF"	-5.43	
1933	"ZAF"	2.4	
1934	"ZAF"	-1.45	
1935	"ZAF"	-0.45	
1936	"ZAF"	0.91	
1937	"ZAF"	5.64	
1938	"ZAF"	-0.32	
1939	"ZAF"	0.86	
1940	"ZAF"	3.93	
1941	"ZAF"	6.03	
1942	"ZAF"	8.67	
1943	"ZAF"	4.96	
1944	"ZAF"	3.88	
1945	"ZAF"	0.76	
1946	"ZAF"	6.06	
1947	"ZAF"	4.29	
1948	"ZAF"	6.85	
1949	"ZAF"	2.56	
1950	"ZAF"	6.88	
1951	"ZAF"	7.65	
1952	"ZAF"	6.61	
1953	"ZAF"	0.78	
1954	"ZAF"	3.85	
1955	"ZAF"	1.7	
1956	"ZAF"	1.89	
1957	"ZAF"	3.26	
1958	"ZAF"	3.16	
1959	"ZAF"	0.79	
1960	"ZAF"	1.58	
1961	"ZAF"	2.08	
1962	"ZAF"	1.33	
1963	"ZAF"	1.01	
1964	"ZAF"	4.14	
1965	"ZAF"	3.49	
1966	"ZAF"	3.64	
1967	"ZAF"	2.15	
1968	"ZAF"	3.05	
1969	"ZAF"	3.81	
1970	"ZAF"	4.88	
1971	"ZAF"	6.71	
1972	"ZAF"	8.43	
1973	"ZAF"	10.77	
1974	"ZAF"	13.81	
1975	"ZAF"	11.25	
1976	"ZAF"	11.32	
1977	"ZAF"	10.21	
1978	"ZAF"	12.23	
1979	"ZAF"	13.89	
1980	"ZAF"	14.2	
1981	"ZAF"	15.7	
1982	"ZAF"	14.4	
1983	"ZAF"	12.6	
1984	"ZAF"	11.2	
1985	"ZAF"	16.2	
1986	"ZAF"	18.8	
1987	"ZAF"	16.2	
1988	"ZAF"	12.9	
1989	"ZAF"	14.5	
1990	"ZAF"	14.3	
1991	"ZAF"	15.6	
1992	"ZAF"	13.7	
1993	"ZAF"	9.9	
1994	"ZAF"	8.8	
1995	"ZAF"	8.7	
1996	"ZAF"	7.3	
1997	"ZAF"	8.6	
1998	"ZAF"	6.9	
1999	"ZAF"	5.2	
2000	"ZAF"	5.4	
2001	"ZAF"	5.7	
2002	"ZAF"	9.2	
2003	"ZAF"	5.8	
2004	"ZAF"	1.4	
2005	"ZAF"	3.39	
2006	"ZAF"	4.69	
2007	"ZAF"	7.09	
2008	"ZAF"	11.54	
2009	"ZAF"	7.13	
2010	"ZAF"	4.26	
2011	"ZAF"	5.0	
2012	"ZAF"	5.65	
2013	"ZAF"	5.75	
2014	"ZAF"	6.3	
2015	"ZAF"		
1890	"TUN"		
1891	"TUN"		
1892	"TUN"		
1893	"TUN"		
1894	"TUN"		
1895	"TUN"		
1896	"TUN"		
1897	"TUN"		
1898	"TUN"		
1899	"TUN"		
1900	"TUN"		
1901	"TUN"		
1902	"TUN"		
1903	"TUN"		
1904	"TUN"		
1905	"TUN"		
1906	"TUN"		
1907	"TUN"		
1908	"TUN"		
1909	"TUN"		
1910	"TUN"		
1911	"TUN"		
1912	"TUN"		
1913	"TUN"		
1914	"TUN"		
1915	"TUN"		
1916	"TUN"		
1917	"TUN"		
1918	"TUN"		
1919	"TUN"		
1920	"TUN"		
1921	"TUN"		
1922	"TUN"		
1923	"TUN"		
1924	"TUN"		
1925	"TUN"		
1926	"TUN"		
1927	"TUN"		
1928	"TUN"		
1929	"TUN"		
1930	"TUN"		
1931	"TUN"		
1932	"TUN"		
1933	"TUN"		
1934	"TUN"		
1935	"TUN"		
1936	"TUN"		
1937	"TUN"		
1938	"TUN"		
1939	"TUN"	0.0	
1940	"TUN"	22.01	
1941	"TUN"	24.58	
1942	"TUN"	25.0	
1943	"TUN"	72.11	
1944	"TUN"	37.61	
1945	"TUN"	13.78	
1946	"TUN"	49.61	
1947	"TUN"	67.1	
1948	"TUN"	69.14	
1949	"TUN"	4.16	
1950	"TUN"	3.5	
1951	"TUN"	15.04	
1952	"TUN"	7.01	
1953	"TUN"	-0.6	
1954	"TUN"	4.19	
1955	"TUN"	0.0	
1956	"TUN"	4.81	
1957	"TUN"	5.5	
1958	"TUN"	5.22	
1959	"TUN"	-8.26	
1960	"TUN"	1.8	
1961	"TUN"	-1.77	
1962	"TUN"	5.78	
1963	"TUN"	0.97	
1964	"TUN"	7.69	
1965	"TUN"	4.46	
1966	"TUN"	5.13	
1967	"TUN"	2.69	
1968	"TUN"	2.52	
1969	"TUN"	1.5	
1970	"TUN"	2.01	
1971	"TUN"	2.51	
1972	"TUN"	3.55	
1973	"TUN"	6.85	
1974	"TUN"	5.3	
1975	"TUN"	10.6	
1976	"TUN"	1.23	
1977	"TUN"	9.65	
1978	"TUN"	4.02	
1979	"TUN"	9.29	
1980	"TUN"	10.15	
1981	"TUN"	8.9	
1982	"TUN"	13.67	
1983	"TUN"	8.97	
1984	"TUN"	8.6	
1985	"TUN"	7.55	
1986	"TUN"	6.16	
1987	"TUN"	8.22	
1988	"TUN"	7.16	
1989	"TUN"	7.72	
1990	"TUN"	6.5	
1991	"TUN"	7.69	
1992	"TUN"	5.52	
1993	"TUN"	4.04	
1994	"TUN"	5.42	
1995	"TUN"	6.23	
1996	"TUN"	3.73	
1997	"TUN"	3.6	
1998	"TUN"	3.1	
1999	"TUN"	2.77	
2000	"TUN"	2.77	
2001	"TUN"	1.99	
2002	"TUN"	2.71	
2003	"TUN"	2.72	
2004	"TUN"	3.62	
2005	"TUN"	1.44	
2006	"TUN"	4.14	
2007	"TUN"	3.44	
2008	"TUN"	4.91	
2009	"TUN"	3.53	
2010	"TUN"	4.41	
2011	"TUN"	3.54	
2012	"TUN"	5.56	
2013	"TUN"	6.11	
2014	"TUN"	5.67	
2015	"TUN"		
1890	"ZMB"		
1891	"ZMB"		
1892	"ZMB"		
1893	"ZMB"		
1894	"ZMB"		
1895	"ZMB"		
1896	"ZMB"		
1897	"ZMB"		
1898	"ZMB"		
1899	"ZMB"		
1900	"ZMB"		
1901	"ZMB"		
1902	"ZMB"		
1903	"ZMB"		
1904	"ZMB"		
1905	"ZMB"		
1906	"ZMB"		
1907	"ZMB"		
1908	"ZMB"		
1909	"ZMB"		
1910	"ZMB"		
1911	"ZMB"		
1912	"ZMB"		
1913	"ZMB"		
1914	"ZMB"		
1915	"ZMB"		
1916	"ZMB"		
1917	"ZMB"		
1918	"ZMB"		
1919	"ZMB"		
1920	"ZMB"		
1921	"ZMB"		
1922	"ZMB"		
1923	"ZMB"		
1924	"ZMB"		
1925	"ZMB"		
1926	"ZMB"		
1927	"ZMB"		
1928	"ZMB"		
1929	"ZMB"		
1930	"ZMB"		
1931	"ZMB"		
1932	"ZMB"		
1933	"ZMB"		
1934	"ZMB"		
1935	"ZMB"		
1936	"ZMB"		
1937	"ZMB"		
1938	"ZMB"		
1939	"ZMB"		
1940	"ZMB"		
1941	"ZMB"		
1942	"ZMB"		
1943	"ZMB"	2.86	
1944	"ZMB"	2.78	
1945	"ZMB"	2.7	
1946	"ZMB"	7.89	
1947	"ZMB"	2.44	
1948	"ZMB"	4.76	
1949	"ZMB"	2.27	
1950	"ZMB"	4.44	
1951	"ZMB"	6.38	
1952	"ZMB"	4.0	
1953	"ZMB"	3.85	
1954	"ZMB"	3.7	
1955	"ZMB"	3.57	
1956	"ZMB"	3.1	
1957	"ZMB"	3.18	
1958	"ZMB"	1.13	
1959	"ZMB"	2.08	
1960	"ZMB"	3.45	
1961	"ZMB"	0.15	
1962	"ZMB"	1.36	
1963	"ZMB"	-0.45	
1964	"ZMB"	3.04	
1965	"ZMB"	8.13	
1966	"ZMB"	10.25	
1967	"ZMB"	5.01	
1968	"ZMB"	10.75	
1969	"ZMB"	2.49	
1970	"ZMB"	2.58	
1971	"ZMB"	6.04	
1972	"ZMB"	5.06	
1973	"ZMB"	6.46	
1974	"ZMB"	8.1	
1975	"ZMB"	10.13	
1976	"ZMB"	18.8	
1977	"ZMB"	19.78	
1978	"ZMB"	16.37	
1979	"ZMB"	9.66	
1980	"ZMB"	11.7	
1981	"ZMB"	14.0	
1982	"ZMB"	12.5	
1983	"ZMB"	19.7	
1984	"ZMB"	20.0	
1985	"ZMB"	37.4	
1986	"ZMB"	54.8	
1987	"ZMB"	47.0	
1988	"ZMB"	54.0	
1989	"ZMB"	128.3	
1990	"ZMB"	109.6	
1991	"ZMB"	97.7	
1992	"ZMB"	165.7	
1993	"ZMB"	183.3	
1994	"ZMB"	54.6	
1995	"ZMB"	34.9	
1996	"ZMB"	43.1	
1997	"ZMB"	24.4	
1998	"ZMB"	24.5	
1999	"ZMB"	26.8	
2000	"ZMB"	26.1	
2001	"ZMB"	21.7	
2002	"ZMB"	22.2	
2003	"ZMB"	21.4	
2004	"ZMB"	18.0	
2005	"ZMB"	18.33	
2006	"ZMB"	9.02	
2007	"ZMB"	10.66	
2008	"ZMB"	12.45	
2009	"ZMB"	13.39	
2010	"ZMB"	8.5	
2011	"ZMB"	8.66	
2012	"ZMB"	6.58	
2013	"ZMB"	6.98	
2014	"ZMB"	8.0	
2015	"ZMB"		
1890	"ZWE"		
1891	"ZWE"		
1892	"ZWE"		
1893	"ZWE"		
1894	"ZWE"		
1895	"ZWE"		
1896	"ZWE"		
1897	"ZWE"		
1898	"ZWE"		
1899	"ZWE"		
1900	"ZWE"		
1901	"ZWE"		
1902	"ZWE"		
1903	"ZWE"		
1904	"ZWE"		
1905	"ZWE"		
1906	"ZWE"		
1907	"ZWE"		
1908	"ZWE"		
1909	"ZWE"		
1910	"ZWE"		
1911	"ZWE"		
1912	"ZWE"		
1913	"ZWE"		
1914	"ZWE"		
1915	"ZWE"		
1916	"ZWE"		
1917	"ZWE"		
1918	"ZWE"		
1919	"ZWE"		
1920	"ZWE"		
1921	"ZWE"	-17.24	
1922	"ZWE"	-13.89	
1923	"ZWE"	-4.03	
1924	"ZWE"		
1925	"ZWE"		
1926	"ZWE"		
1927	"ZWE"	0.0	
1928	"ZWE"	1.84	
1929	"ZWE"	0.0	
1930	"ZWE"	-7.21	
1931	"ZWE"	-5.03	
1932	"ZWE"	-5.31	
1933	"ZWE"	-2.91	
1934	"ZWE"	-0.69	
1935	"ZWE"	-0.34	
1936	"ZWE"	-0.59	
1937	"ZWE"	3.05	
1938	"ZWE"	2.05	
1939	"ZWE"	1.56	
1940	"ZWE"	1.1	
1941	"ZWE"	6.41	
1942	"ZWE"	5.1	
1943	"ZWE"	5.83	
1944	"ZWE"	1.83	
1945	"ZWE"	4.88	
1946	"ZWE"	3.88	
1947	"ZWE"	4.48	
1948	"ZWE"	5.0	
1949	"ZWE"	10.2	
1950	"ZWE"	3.71	
1951	"ZWE"	7.07	
1952	"ZWE"	6.4	
1953	"ZWE"	3.01	
1954	"ZWE"	-0.73	
1955	"ZWE"	3.48	
1956	"ZWE"	2.91	
1957	"ZWE"	4.72	
1958	"ZWE"	1.8	
1959	"ZWE"	3.54	
1960	"ZWE"	1.71	
1961	"ZWE"	2.52	
1962	"ZWE"	1.83	
1963	"ZWE"	0.9	
1964	"ZWE"	2.68	
1965	"ZWE"	2.91	
1966	"ZWE"	4.72	
1967	"ZWE"	0.81	
1968	"ZWE"	3.48	
1969	"ZWE"	-0.09	
1970	"ZWE"	4.06	
1971	"ZWE"	1.0	
1972	"ZWE"	4.03	
1973	"ZWE"	2.64	
1974	"ZWE"	7.18	
1975	"ZWE"	11.86	
1976	"ZWE"	13.94	
1977	"ZWE"	7.58	
1978	"ZWE"	12.03	
1979	"ZWE"	19.5	
1980	"ZWE"	5.34	
1981	"ZWE"	11.47	
1982	"ZWE"	13.38	
1983	"ZWE"	31.92	
1984	"ZWE"	11.64	
1985	"ZWE"	7.4	
1986	"ZWE"	15.83	
1987	"ZWE"	9.83	
1988	"ZWE"	8.16	
1989	"ZWE"	15.71	
1990	"ZWE"	18.39	
1991	"ZWE"	30.32	
1992	"ZWE"	46.31	
1993	"ZWE"	18.64	
1994	"ZWE"	21.11	
1995	"ZWE"	25.81	
1996	"ZWE"	16.4	
1997	"ZWE"	20.07	
1998	"ZWE"	46.61	
1999	"ZWE"	56.92	
2000	"ZWE"	55.2	
2001	"ZWE"	112.12	
2002	"ZWE"	198.93	
2003	"ZWE"	598.74	
2004	"ZWE"	132.75	
2005	"ZWE"	585.84	
2006	"ZWE"	1281.11	
2007	"ZWE"	66279.89	
2008	"ZWE"	2.1989696E7	
2009	"ZWE"	-7.7	
2010	"ZWE"	3.25	
2011	"ZWE"	4.93	
2012	"ZWE"	2.9	
2013	"ZWE"	0.33	
2014	"ZWE"	-0.71	
2015	"ZWE"		
1890	"GMB"		0.12
1891	"GMB"		0.66
1892	"GMB"		-0.13
1893	"GMB"		7.91
1894	"GMB"		-0.18
1895	"GMB"		-3.87
1896	"GMB"		-0.26
1897	"GMB"		-0.01
1898	"GMB"		-0.02
1899	"GMB"		0.22
1900	"GMB"		0.03
1901	"GMB"		0.02
1902	"GMB"		-0.2
1903	"GMB"		0.1
1904	"GMB"		0.26
1905	"GMB"		
1906	"GMB"		
1907	"GMB"		
1908	"GMB"		
1909	"GMB"		
1910	"GMB"		
1911	"GMB"		
1912	"GMB"		
1913	"GMB"		
1914	"GMB"		
1915	"GMB"		
1916	"GMB"		
1917	"GMB"		
1918	"GMB"		
1919	"GMB"		
1920	"GMB"		
1921	"GMB"		-16.29
1922	"GMB"		-12.04
1923	"GMB"		-5.11
1924	"GMB"		20.59
1925	"GMB"		15.42
1926	"GMB"		-5.75
1927	"GMB"		-7.42
1928	"GMB"		0.25
1929	"GMB"		-0.93
1930	"GMB"		-23.27
1931	"GMB"		-32.79
1932	"GMB"		11.71
1933	"GMB"		-5.63
1934	"GMB"		-5.97
1935	"GMB"		-24.6
1936	"GMB"		40.82
1937	"GMB"		30.97
1938	"GMB"		-17.95
1939	"GMB"		-20.31
1940	"GMB"		25.67
1941	"GMB"		36.34
1942	"GMB"		26.65
1943	"GMB"		-23.04
1944	"GMB"		13.77
1945	"GMB"		-2.11
1946	"GMB"		-1.08
1947	"GMB"		21.2
1948	"GMB"		14.35
1949	"GMB"		1.57
1950	"GMB"		-5.79
1951	"GMB"		28.0
1952	"GMB"		9.38
1953	"GMB"		-7.14
1954	"GMB"		-5.13
1955	"GMB"		-5.41
1956	"GMB"		-5.71
1957	"GMB"		5.76
1958	"GMB"		5.44
1959	"GMB"		3.53
1960	"GMB"		2.36
1961	"GMB"		2.31
1962	"GMB"		3.76
1963	"GMB"		2.9
1964	"GMB"		-2.82
1965	"GMB"		
1966	"GMB"		
1967	"GMB"		
1968	"GMB"		
1969	"GMB"		
1970	"GMB"		
1971	"GMB"		
1972	"GMB"		
1973	"GMB"		
1974	"GMB"		
1975	"GMB"		
1976	"GMB"		
1977	"GMB"		
1978	"GMB"		
1979	"GMB"		
1980	"GMB"		
1981	"GMB"		
1982	"GMB"		
1983	"GMB"		
1984	"GMB"		
1985	"GMB"		
1986	"GMB"		
1987	"GMB"		
1988	"GMB"		
1989	"GMB"		
1990	"GMB"		
1991	"GMB"		
1992	"GMB"		
1993	"GMB"		
1994	"GMB"		
1995	"GMB"		
1996	"GMB"		
1997	"GMB"		
1998	"GMB"		
1999	"GMB"		
2000	"GMB"		
2001	"GMB"		
2002	"GMB"		
2003	"GMB"		
2004	"GMB"		
2005	"GMB"		
2006	"GMB"		
2007	"GMB"		
2008	"GMB"		
2009	"GMB"		
2010	"GMB"		
2011	"GMB"		
2012	"GMB"		
2013	"GMB"		
2014	"GMB"		
2015	"GMB"		
1890	"MWI"		
1891	"MWI"		
1892	"MWI"		
1893	"MWI"		
1894	"MWI"		
1895	"MWI"		
1896	"MWI"		
1897	"MWI"		
1898	"MWI"		
1899	"MWI"		
1900	"MWI"		
1901	"MWI"		
1902	"MWI"		-0.34
1903	"MWI"		-0.32
1904	"MWI"		-0.32
1905	"MWI"		0.09
1906	"MWI"		0.54
1907	"MWI"		2.72
1908	"MWI"		-1.21
1909	"MWI"		-3.21
1910	"MWI"		0.14
1911	"MWI"		-0.4
1912	"MWI"		0.95
1913	"MWI"		-19.45
1914	"MWI"		0.83
1915	"MWI"		0.83
1916	"MWI"		9.96
1917	"MWI"		9.05
1918	"MWI"		16.56
1919	"MWI"		9.84
1920	"MWI"		10.17
1921	"MWI"		7.68
1922	"MWI"		-0.16
1923	"MWI"		-12.14
1924	"MWI"		-14.44
1925	"MWI"		-20.33
1926	"MWI"		25.68
1927	"MWI"		-5.76
1928	"MWI"		-0.54
1929	"MWI"		-0.86
1930	"MWI"		-0.23
1931	"MWI"		-7.23
1932	"MWI"		-3.23
1933	"MWI"		-19.68
1934	"MWI"		-0.68
1935	"MWI"		0.61
1936	"MWI"		-9.36
1937	"MWI"		1.11
1938	"MWI"		-0.65
1939	"MWI"		-0.32
1940	"MWI"		0.0
1941	"MWI"		0.0
1942	"MWI"		
1943	"MWI"		
1944	"MWI"		
1945	"MWI"		
1946	"MWI"		
1947	"MWI"		
1948	"MWI"		
1949	"MWI"		0.73
1950	"MWI"		
1951	"MWI"		
1952	"MWI"		
1953	"MWI"		
1954	"MWI"		0.0
1955	"MWI"		-11.26
1956	"MWI"		-10.46
1957	"MWI"		5.28
1958	"MWI"		1.95
1959	"MWI"		25.87
1960	"MWI"		0.0
1961	"MWI"		-2.6
1962	"MWI"		0.0
1963	"MWI"		
1964	"MWI"		
1965	"MWI"		
1966	"MWI"		
1967	"MWI"		
1968	"MWI"		
1969	"MWI"		
1970	"MWI"		
1971	"MWI"		
1972	"MWI"		
1973	"MWI"		
1974	"MWI"		
1975	"MWI"		
1976	"MWI"		
1977	"MWI"		
1978	"MWI"		
1979	"MWI"		
1980	"MWI"		
1981	"MWI"		
1982	"MWI"		
1983	"MWI"		
1984	"MWI"		
1985	"MWI"		
1986	"MWI"		
1987	"MWI"		
1988	"MWI"		
1989	"MWI"		
1990	"MWI"		
1991	"MWI"		
1992	"MWI"		
1993	"MWI"		
1994	"MWI"		
1995	"MWI"		
1996	"MWI"		
1997	"MWI"		
1998	"MWI"		
1999	"MWI"		
2000	"MWI"		
2001	"MWI"		
2002	"MWI"		
2003	"MWI"		
2004	"MWI"		
2005	"MWI"		
2006	"MWI"		
2007	"MWI"		
2008	"MWI"		
2009	"MWI"		
2010	"MWI"		
2011	"MWI"		
2012	"MWI"		
2013	"MWI"		
2014	"MWI"		
2015	"MWI"		
1890	"SLE"		-6.6
1891	"SLE"		-10.01
1892	"SLE"		0.18
1893	"SLE"		-0.03
1894	"SLE"		8.7
1895	"SLE"		-0.13
1896	"SLE"		0.19
1897	"SLE"		-0.25
1898	"SLE"		-11.72
1899	"SLE"		0.04
1900	"SLE"		0.18
1901	"SLE"		0.18
1902	"SLE"		0.32
1903	"SLE"		-0.02
1904	"SLE"		-1.04
1905	"SLE"		-0.15
1906	"SLE"		0.09
1907	"SLE"		0.11
1908	"SLE"		-1.89
1909	"SLE"		-0.03
1910	"SLE"		0.73
1911	"SLE"		0.24
1912	"SLE"		-0.12
1913	"SLE"		46.16
1914	"SLE"		31.58
1915	"SLE"		0.0
1916	"SLE"		2.6
1917	"SLE"		2.09
1918	"SLE"		47.41
1919	"SLE"		1.09
1920	"SLE"		-2.01
1921	"SLE"		-15.15
1922	"SLE"		-9.38
1923	"SLE"		-10.35
1924	"SLE"		17.72
1925	"SLE"		13.66
1926	"SLE"		-5.88
1927	"SLE"		-7.1
1928	"SLE"		0.27
1929	"SLE"		1.38
1930	"SLE"		-25.44
1931	"SLE"		-31.67
1932	"SLE"		13.02
1933	"SLE"		11.19
1934	"SLE"		-19.02
1935	"SLE"		-23.49
1936	"SLE"		40.88
1937	"SLE"		27.63
1938	"SLE"		-18.47
1939	"SLE"		-20.0
1940	"SLE"		27.7
1941	"SLE"		45.41
1942	"SLE"		26.02
1943	"SLE"		3.42
1944	"SLE"		2.89
1945	"SLE"		-6.02
1946	"SLE"		-0.85
1947	"SLE"		0.43
1948	"SLE"		12.02
1949	"SLE"		-3.83
1950	"SLE"		1.59
1951	"SLE"		33.73
1952	"SLE"		14.96
1953	"SLE"		-1.02
1954	"SLE"		5.67
1955	"SLE"		1.95
1956	"SLE"		4.0
1957	"SLE"		8.65
1958	"SLE"		-6.19
1959	"SLE"		0.94
1960	"SLE"		-0.93
1961	"SLE"		6.6
1962	"SLE"		-3.0
1963	"SLE"		3.09
1964	"SLE"		11.0
1965	"SLE"		4.5
1966	"SLE"		
1967	"SLE"		
1968	"SLE"		
1969	"SLE"		
1970	"SLE"		
1971	"SLE"		
1972	"SLE"		
1973	"SLE"		
1974	"SLE"		
1975	"SLE"		
1976	"SLE"		
1977	"SLE"		
1978	"SLE"		
1979	"SLE"		
1980	"SLE"		
1981	"SLE"		
1982	"SLE"		
1983	"SLE"		
1984	"SLE"		
1985	"SLE"		
1986	"SLE"		
1987	"SLE"		
1988	"SLE"		
1989	"SLE"		
1990	"SLE"		
1991	"SLE"		
1992	"SLE"		
1993	"SLE"		
1994	"SLE"		
1995	"SLE"		
1996	"SLE"		
1997	"SLE"		
1998	"SLE"		
1999	"SLE"		
2000	"SLE"		
2001	"SLE"		
2002	"SLE"		
2003	"SLE"		
2004	"SLE"		
2005	"SLE"		
2006	"SLE"		
2007	"SLE"		
2008	"SLE"		
2009	"SLE"		
2010	"SLE"		
2011	"SLE"		
2012	"SLE"		
2013	"SLE"		
2014	"SLE"		
2015	"SLE"		
1890	"TZA"		
1891	"TZA"		
1892	"TZA"		
1893	"TZA"		
1894	"TZA"		
1895	"TZA"		
1896	"TZA"		
1897	"TZA"		
1898	"TZA"		
1899	"TZA"		
1900	"TZA"		
1901	"TZA"		
1902	"TZA"		
1903	"TZA"		
1904	"TZA"		
1905	"TZA"		
1906	"TZA"		
1907	"TZA"		
1908	"TZA"		
1909	"TZA"		
1910	"TZA"		
1911	"TZA"		
1912	"TZA"		
1913	"TZA"		
1914	"TZA"		
1915	"TZA"		
1916	"TZA"		
1917	"TZA"		
1918	"TZA"		
1919	"TZA"		
1920	"TZA"		
1921	"TZA"		
1922	"TZA"		-35.53
1923	"TZA"		-11.08
1924	"TZA"		12.9
1925	"TZA"		14.22
1926	"TZA"		2.92
1927	"TZA"		-8.18
1928	"TZA"		-4.78
1929	"TZA"		16.29
1930	"TZA"		-18.44
1931	"TZA"		-20.92
1932	"TZA"		-1.21
1933	"TZA"		18.41
1934	"TZA"		22.81
1935	"TZA"		-28.44
1936	"TZA"		0.27
1937	"TZA"		1.24
1938	"TZA"		6.23
1939	"TZA"		3.27
1940	"TZA"		-14.29
1941	"TZA"		32.39
1942	"TZA"		15.72
1943	"TZA"		105.53
1944	"TZA"		-13.57
1945	"TZA"		-15.71
1946	"TZA"		-6.63
1947	"TZA"		12.53
1948	"TZA"		19.56
1949	"TZA"		10.53
1950	"TZA"		9.52
1951	"TZA"		27.56
1952	"TZA"		3.51
1953	"TZA"		1.44
1954	"TZA"		12.38
1955	"TZA"		-4.24
1956	"TZA"		-0.88
1957	"TZA"		6.25
1958	"TZA"		2.52
1959	"TZA"		0.0
1960	"TZA"		-0.82
1961	"TZA"		0.0
1962	"TZA"		0.83
1963	"TZA"		-2.46
1964	"TZA"		
1965	"TZA"		
1966	"TZA"		
1967	"TZA"		
1968	"TZA"		
1969	"TZA"		
1970	"TZA"		
1971	"TZA"		
1972	"TZA"		
1973	"TZA"		
1974	"TZA"		
1975	"TZA"		
1976	"TZA"		
1977	"TZA"		
1978	"TZA"		
1979	"TZA"		
1980	"TZA"		
1981	"TZA"		
1982	"TZA"		
1983	"TZA"		
1984	"TZA"		
1985	"TZA"		
1986	"TZA"		
1987	"TZA"		
1988	"TZA"		
1989	"TZA"		
1990	"TZA"		
1991	"TZA"		
1992	"TZA"		
1993	"TZA"		
1994	"TZA"		
1995	"TZA"		
1996	"TZA"		
1997	"TZA"		
1998	"TZA"		
1999	"TZA"		
2000	"TZA"		
2001	"TZA"		
2002	"TZA"		
2003	"TZA"		
2004	"TZA"		
2005	"TZA"		
2006	"TZA"		
2007	"TZA"		
2008	"TZA"		
2009	"TZA"		
2010	"TZA"		
2011	"TZA"		
2012	"TZA"		
2013	"TZA"		
2014	"TZA"		
2015	"TZA"		
1890	"UGA"		
1891	"UGA"		
1892	"UGA"		
1893	"UGA"		
1894	"UGA"		
1895	"UGA"		
1896	"UGA"		
1897	"UGA"		
1898	"UGA"		
1899	"UGA"		
1900	"UGA"		
1901	"UGA"		
1902	"UGA"		
1903	"UGA"		
1904	"UGA"		
1905	"UGA"		
1906	"UGA"		
1907	"UGA"		-2.51
1908	"UGA"		0.04
1909	"UGA"		-3.99
1910	"UGA"		66.58
1911	"UGA"		7.75
1912	"UGA"		-4.14
1913	"UGA"		-0.86
1914	"UGA"		-18.84
1915	"UGA"		-15.86
1916	"UGA"		-14.95
1917	"UGA"		27.7
1918	"UGA"		-0.6
1919	"UGA"		5.81
1920	"UGA"		71.75
1921	"UGA"		-1.15
1922	"UGA"		-16.83
1923	"UGA"		-17.04
1924	"UGA"		1.5
1925	"UGA"		6.9
1926	"UGA"		8.91
